"Source:","C:\Users\Walter\Documents\GitHub\KosmoTuringMachine\TuringMain\TuringMain.kicad_sch"
"Date:","6/17/2022 11:51:15 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"","","AND_1","4081","TuringBack-eagle-import:4081N","TuringBack:DIL14","","",""
"","","AND_2","4081","TuringBack-eagle-import:4081N","TuringBack:DIL14","","",""
"","","BUFFER1","4050","TuringBack-eagle-import:4050N","TuringBack:DIL16","","",""
"","","BUFFER2","4050","TuringBack-eagle-import:4050N","TuringBack:DIL16","","",""
"","","C1","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C2","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C3","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C4","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C5","10uf","ao_symbols:CP","ao_tht:CP_Radial_D6.3mm_P2.50mm","","","Tayda"
"","","C6","10uf","ao_symbols:CP","ao_tht:CP_Radial_D6.3mm_P2.50mm","","","Tayda"
"","","C7","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C8","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C9","10n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C10","0.47uf","TuringFront-eagle-import:C-EU050-035X075","TuringFront:C050-035X075","","",""
"","","C11","0.47uf","TuringFront-eagle-import:C-EU050-035X075","TuringFront:C050-035X075","","",""
"","","C12","1n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C13","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C14","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C15","330pf","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C16","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C17","1n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C18","0.47uf","TuringFront-eagle-import:C-EU050-035X075","TuringFront:C050-035X075","","",""
"","","C19","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C20","1n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C21","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C22","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"","","C23","1n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
